run_id,run_name,epoch,train_loss,dev_loss,dev_ppl,lr
1,full-adam-trial1,0,4.762853959027459,4.516988593841267,91.55945968377617,1e-05
1,full-adam-trial1,1,4.417373713325052,4.380482326044101,79.87655065609552,1e-05
1,full-adam-trial1,2,4.315718931310317,4.3375314017322575,76.51841277436075,1e-05
1,full-adam-trial1,3,4.145377762177411,4.307280923718604,74.23835450650257,1e-05
1,full-adam-trial1,4,4.096150482402129,4.295507841021101,73.36946500956921,1e-05
1,full-adam-trial1,5,4.054578248192282,4.2928058945129965,73.17149221617592,1e-05
2,full-adam-trial2,0,4.634393383474911,4.4161349858079,82.77573689733673,2e-05
2,full-adam-trial2,1,4.256982003941255,4.303854398638289,73.98441024452086,2e-05
2,full-adam-trial2,2,4.134820405174704,4.26925673440238,71.46849579892451,2e-05
2,full-adam-trial2,3,3.9500482222613167,4.281414851964077,72.34272187554421,2e-05
2,full-adam-trial2,4,3.8855408359976376,4.277659621194144,72.0715677022697,2e-05
2,full-adam-trial2,5,3.8228407467112824,4.298513537255403,73.59032308412952,2e-05
3,full-adam-trial3,0,4.571518365074606,4.343358690493575,76.96560936753053,3e-05
3,full-adam-trial3,1,4.1622061028200035,4.272431275554907,71.69573598076337,3e-05
3,full-adam-trial3,2,4.0199516380534455,4.264595103041034,71.13611134636902,3e-05
3,full-adam-trial3,3,3.8209718535928165,4.293905953380549,73.25202945477042,3e-05
3,full-adam-trial3,4,3.740188051672543,4.294645077714296,73.30619182613437,3e-05
3,full-adam-trial3,5,3.661108648075777,4.3342817074784605,76.27015492758478,3e-05
