run_name,num_seeds,mean_best_dev_f1,std_best_dev_f1,mean_dev_acc,std_dev_acc,mean_best_dev_loss,std_best_dev_loss
full-adamw-cosine-final,1,0.8913146462999353,0.0,0.8938385812164535,0.0,0.25992918170955803,0.0
full-adam-final,1,0.8886081807441031,0.0,0.8871602067822603,0.0,0.2587382069187472,0.0
lora-adamw-cosine-final,1,0.8807973298879748,0.0,0.8866655123797275,0.0,0.26569904563773206,0.0
lora-adam-final,1,0.8753415627972747,0.0,0.8829553043607311,0.0,0.2768150314930572,0.0
