run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,final_dev_f1,dev_f1_gain,dev_acc,dev_yes_rate,dev_no_rate,dev_yes_count,dev_no_count,dev_is_collapsed,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path
1,full-adam-final,False,adam,False,linear,0,0,0,20,3e-05,0.0,0,,,,0.2587382069187472,1,0.8886081807441031,0.8868178711442655,0.018068046693974216,0.8871602067822603,0.37962848450369785,0.6203715154963022,15348,25081,False,125031938,125031938,results/paraphrase_final_full/final_full_dataset/seed_11711/final_s11711_1_full-adam-final.pt,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_1_full-adam-final_dev.csv,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_1_full-adam-final_test.csv
2,full-adamw-cosine-final,False,adamw,True,cosine,0,0,0,20,3e-05,0.01,50,,,,0.25992918170955803,2,0.8913146462999353,0.8913146462999353,0.019687276521498598,0.8938385812164535,0.3818546093150956,0.6181453906849044,15438,24991,False,125031938,125031938,results/paraphrase_final_full/final_full_dataset/seed_11711/final_s11711_2_full-adamw-cosine-final.pt,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_2_full-adamw-cosine-final_dev.csv,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_2_full-adamw-cosine-final_test.csv
3,lora-adam-final,True,adam,False,linear,0,0,0,20,0.0002,0.0,0,8,16.0,0.0,0.2768150314930572,10,0.8753415627972747,0.8748099948513095,0.03169054520673398,0.8829553043607311,0.3763635014469811,0.6236364985530188,15216,25213,False,125326850,296450,results/paraphrase_final_full/final_full_dataset/seed_11711/final_s11711_3_lora-adam-final.pt,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_3_lora-adam-final_dev.csv,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_3_lora-adam-final_test.csv
4,lora-adamw-cosine-final,True,adamw,True,cosine,0,0,0,20,0.0002,0.05,0,8,32.0,0.0,0.26569904563773206,13,0.8807973298879748,0.8807973298879748,0.03965137962092258,0.8866655123797275,0.3954092359444953,0.6045907640555047,15986,24443,False,125326850,296450,results/paraphrase_final_full/final_full_dataset/seed_11711/final_s11711_4_lora-adamw-cosine-final.pt,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_4_lora-adamw-cosine-final_dev.csv,results/paraphrase_final_full/final_full_dataset/seed_11711/predictions/final_s11711_4_lora-adamw-cosine-final_test.csv
