run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,lora-adam-trial1,0,1.899191503226757,0.6928912556171417,0.62,0.38271604938271603,0.0002
1,lora-adam-trial1,1,0.7418376449743906,0.6749008190631867,0.62,0.38271604938271603,0.0002
1,lora-adam-trial1,2,0.6924803163607915,0.7035519582033157,0.62,0.38271604938271603,0.0002
1,lora-adam-trial1,3,0.6873156015078227,0.671357873082161,0.62,0.38271604938271603,0.0002
2,lora-adam-trial2,0,3.4519940322637557,0.9508736127614975,0.62,0.38271604938271603,5e-05
2,lora-adam-trial2,1,1.3003773414095243,0.7458766856789589,0.62,0.38271604938271603,5e-05
2,lora-adam-trial2,2,1.0040059554576874,0.7003358596563339,0.62,0.38271604938271603,5e-05
2,lora-adam-trial2,3,0.8428517077366511,0.6946888053417206,0.62,0.38271604938271603,5e-05
3,lora-adam-trial3,0,0.7188317010800044,0.6646032392978668,0.62,0.38271604938271603,0.0002
3,lora-adam-trial3,1,0.6915322919686635,0.641687479019165,0.62,0.38271604938271603,0.0002
3,lora-adam-trial3,2,0.6475766179958979,0.6339689195156097,0.62,0.38271604938271603,0.0002
3,lora-adam-trial3,3,0.6271838110685348,0.5952862298488617,0.6825,0.6280867699921664,0.0002
4,lora-adam-trial4,0,2.4701434824367365,0.7300637900829315,0.62,0.38271604938271603,0.0001
4,lora-adam-trial4,1,0.9219043725728988,0.6906242263317108,0.62,0.38271604938271603,0.0001
4,lora-adam-trial4,2,0.740985927383105,0.7075205218791961,0.62,0.38271604938271603,0.0001
4,lora-adam-trial4,3,0.6813279690345129,0.666581546664238,0.62,0.38271604938271603,0.0001
5,lora-adam-trial5,0,0.7559313309192658,0.670765432715416,0.62,0.38271604938271603,5e-05
5,lora-adam-trial5,1,0.7182840816179912,0.6827145946025849,0.62,0.38271604938271603,5e-05
5,lora-adam-trial5,2,0.6888961990674337,0.6648082286119461,0.62,0.38271604938271603,5e-05
5,lora-adam-trial5,3,0.6810686055819194,0.6461644279956817,0.62,0.38271604938271603,5e-05
6,lora-adam-trial6,0,0.7230939471721649,0.6611135339736939,0.62,0.38271604938271603,0.0002
6,lora-adam-trial6,1,0.6698142337799072,0.6226711195707321,0.625,0.39688794177958264,0.0002
6,lora-adam-trial6,2,0.6398896727959315,0.5990887039899826,0.66,0.5200451722190853,0.0002
6,lora-adam-trial6,3,0.5993331318100293,0.5790692746639252,0.6925,0.6041165442271019,0.0002
