run_id,run_name,epoch,train_loss,dev_loss,dev_ppl,lr
1,lora-adam-trial1,0,5.080957552965949,4.833042465637777,125.59249080190575,0.0001
1,lora-adam-trial1,1,4.677868506487678,4.660375862478096,105.67579425895235,0.0001
1,lora-adam-trial1,2,4.407419373007381,4.538620708144713,93.56166224183848,0.0001
1,lora-adam-trial1,3,4.233031272888184,4.494563165112076,89.52905102875135,0.0001
1,lora-adam-trial1,4,4.145335758433623,4.451256867881133,85.73463341938475,0.0001
1,lora-adam-trial1,5,4.070556528428021,4.416356737368575,82.79409458152706,0.0001
2,lora-adam-trial2,0,4.873670157264261,4.522352129499489,92.0518614373888,0.0003
2,lora-adam-trial2,1,4.231920003890991,4.406646158093604,81.99400690702456,0.0003
2,lora-adam-trial2,2,4.0332152001998,4.361247980706046,78.35485878332929,0.0003
2,lora-adam-trial2,3,3.8341993163613712,4.331956809926256,76.09304059720138,0.0003
2,lora-adam-trial2,4,3.767680112053366,4.364958290741822,78.64611960205997,0.0003
2,lora-adam-trial2,5,3.6932509225957535,4.380102424978096,79.84621123270703,0.0003
3,lora-adam-trial3,0,4.881809318766875,4.54001439174759,93.6921485035236,0.0003
3,lora-adam-trial3,1,4.25284657758825,4.428754574784609,83.8269516726087,0.0003
3,lora-adam-trial3,2,4.039616907344145,4.374287400290231,79.38325091057175,0.0003
3,lora-adam-trial3,3,3.8726399786332073,4.367867585654571,78.87525751098349,0.0003
3,lora-adam-trial3,4,3.764649615568273,4.389142045350832,80.57126282876487,0.0003
3,lora-adam-trial3,5,3.6791771439944996,4.416629541700131,82.81668425029586,0.0003
4,lora-adam-trial4,0,5.138913491192986,4.947545559606819,140.82888327841744,5e-05
4,lora-adam-trial4,1,4.892462926752427,4.832337138808776,125.50393828152743,5e-05
4,lora-adam-trial4,2,4.717363329494701,4.739342947986638,114.35903715375314,5e-05
4,lora-adam-trial4,3,4.504176504471722,4.644891186295268,104.05204288111211,5e-05
4,lora-adam-trial4,4,4.405221911037669,4.571185388297678,96.65861988684509,5e-05
4,lora-adam-trial4,5,4.32860242619234,4.529819096360251,92.74178223851683,5e-05
5,lora-adam-trial5,0,5.131411412182977,4.947325804523218,140.79793881562514,5e-05
5,lora-adam-trial5,1,4.892565671135397,4.8348961946006135,125.82552116045204,5e-05
5,lora-adam-trial5,2,4.7480588520274445,4.738764682662821,114.2929264047211,5e-05
5,lora-adam-trial5,3,4.523418342365938,4.644090313777745,103.96874381999322,5e-05
5,lora-adam-trial5,4,4.397824764251709,4.577660819080388,97.28655697687752,5e-05
5,lora-adam-trial5,5,4.3239330123452575,4.53864366763106,93.56381039420543,5e-05
6,lora-adam-trial6,0,4.757033376132741,4.479920431832287,88.2276522837215,0.0003
6,lora-adam-trial6,1,4.198383920332965,4.399942843713493,81.44621336882345,0.0003
6,lora-adam-trial6,2,3.976944656933055,4.389061901056878,80.5648057605445,0.0003
6,lora-adam-trial6,3,3.8316712379455566,4.394452103944582,81.00023889139588,0.0003
6,lora-adam-trial6,4,3.75349217302659,4.4104823887905225,82.30915894474641,0.0003
6,lora-adam-trial6,5,3.6839949523701385,4.418852191105067,83.00096142017114,0.0003
7,lora-adam-trial7,0,4.858042352339801,4.59026828658915,98.52085844168272,0.0002
7,lora-adam-trial7,1,4.278745931737563,4.45977241302205,86.46782790518013,0.0002
7,lora-adam-trial7,2,4.100901589674108,4.371563777745327,79.16733506880527,0.0002
7,lora-adam-trial7,3,3.9097656081704533,4.346266131534755,77.18970795782172,0.0002
7,lora-adam-trial7,4,3.8474758372587314,4.3610711498795265,78.3410044538612,0.0002
7,lora-adam-trial7,5,3.791109968634213,4.394627793927059,81.01447107213653,0.0002
8,lora-adam-trial8,0,5.0683651811936326,4.831715236200351,125.42591132004279,0.0001
8,lora-adam-trial8,1,4.650449051576502,4.643660072968385,103.92402184480316,0.0001
8,lora-adam-trial8,2,4.3914879911086135,4.522298937646028,92.0469651584866,0.0001
8,lora-adam-trial8,3,4.190168002072503,4.468184996988172,87.19831409788395,0.0001
8,lora-adam-trial8,4,4.137197424383724,4.430347193067319,83.9605623756093,0.0001
8,lora-adam-trial8,5,4.076867187724394,4.388154217015917,80.49171155033508,0.0001
