run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_dev_ppl,best_epoch,total_params,trainable_params,checkpoint_path,generated_sonnet_path
1,lora-adam-trial1,True,adam,False,linear,200,80,6,0.0001,0.0,0,8,16.0,0.05,4.416356737368575,82.79409458152706,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_1_lora-adam-trial1.pt,
2,lora-adam-trial2,True,adam,False,linear,200,80,6,0.0003,0.0,0,16,16.0,0.0,4.331956809926256,76.09304059720138,3,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_2_lora-adam-trial2.pt,
3,lora-adam-trial3,True,adam,False,linear,200,80,6,0.0003,0.0,0,8,16.0,0.05,4.367867585654571,78.87525751098349,3,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_3_lora-adam-trial3.pt,
4,lora-adam-trial4,True,adam,False,linear,200,80,6,5e-05,0.0,0,16,16.0,0.0,4.529819096360251,92.74178223851683,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_4_lora-adam-trial4.pt,
5,lora-adam-trial5,True,adam,False,linear,200,80,6,5e-05,0.0,0,16,16.0,0.05,4.53864366763106,93.56381039420543,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_5_lora-adam-trial5.pt,
6,lora-adam-trial6,True,adam,False,linear,200,80,6,0.0003,0.0,0,4,32.0,0.1,4.389061901056878,80.5648057605445,2,163775232,38744832,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_6_lora-adam-trial6.pt,
7,lora-adam-trial7,True,adam,False,linear,200,80,6,0.0002,0.0,0,16,32.0,0.05,4.346266131534755,77.18970795782172,3,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_7_lora-adam-trial7.pt,
8,lora-adam-trial8,True,adam,False,linear,200,80,6,0.0001,0.0,0,16,16.0,0.0,4.388154217015917,80.49171155033508,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_8_lora-adam-trial8.pt,
