run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,full-adamw-cosine-trial1,0,0.8330443175633748,0.6511673378944397,0.62,0.38271604938271603,8.810810275638185e-06
1,full-adamw-cosine-trial1,1,0.6583643152316412,0.6250831663608551,0.62,0.38271604938271603,5.270694542927089e-06
1,full-adamw-cosine-trial1,2,0.6499998716513316,0.6222648406028748,0.635,0.42968750000000006,1.561502705732883e-06
1,full-adamw-cosine-trial1,3,0.6370311562220256,0.6185919910669326,0.635,0.42968750000000006,0.0
2,full-adamw-cosine-trial2,0,0.8330494477351507,0.6511693286895752,0.62,0.38271604938271603,8.810810275638185e-06
2,full-adamw-cosine-trial2,1,0.6583688698212306,0.6250803792476654,0.62,0.38271604938271603,5.270694542927089e-06
2,full-adamw-cosine-trial2,2,0.6500114597876867,0.6222955965995789,0.635,0.42968750000000006,1.561502705732883e-06
2,full-adamw-cosine-trial2,3,0.637046123345693,0.6186248433589935,0.635,0.42968750000000006,0.0
3,full-adamw-cosine-trial3,0,0.8016378684838613,0.63786940574646,0.62,0.38271604938271603,2.7618802992467718e-05
3,full-adamw-cosine-trial3,1,0.6313691575328509,0.5632882297039032,0.6725,0.5527140186596785,1.713472257409928e-05
3,full-adamw-cosine-trial3,2,0.5563165823618571,0.48292307913303373,0.775,0.755859375,5.177088990820725e-06
3,full-adamw-cosine-trial3,3,0.46470713476339975,0.4766284957528114,0.7825,0.7650537743300996,0.0
4,full-adamw-cosine-trial4,0,0.7956502954165141,0.6471965479850769,0.62,0.38271604938271603,2.643243082691455e-05
4,full-adamw-cosine-trial4,1,0.6482403270403544,0.6216393131017685,0.65,0.5059288537549408,1.5812083628781265e-05
4,full-adamw-cosine-trial4,2,0.6296699204047521,0.5979440194368363,0.675,0.572312146335044,4.684508117198649e-06
4,full-adamw-cosine-trial4,3,0.6059616070985794,0.5965131551027298,0.6775,0.6287101996762008,0.0
5,full-adamw-cosine-trial5,0,0.7949985752503077,0.6569739866256714,0.62,0.38271604938271603,8.535533905932739e-06
5,full-adamw-cosine-trial5,1,0.6555721970399221,0.6416581869125366,0.62,0.38271604938271603,5e-06
5,full-adamw-cosine-trial5,2,0.655344950556755,0.6258366698026657,0.62,0.38271604938271603,1.4644660940672628e-06
5,full-adamw-cosine-trial5,3,0.645208031932513,0.6242397677898407,0.62,0.38271604938271603,0.0
6,full-adamw-cosine-trial6,0,0.7956538120905559,0.6471935158967972,0.62,0.38271604938271603,2.643243082691455e-05
6,full-adamw-cosine-trial6,1,0.6482354138294856,0.6216516649723053,0.65,0.5059288537549408,1.5812083628781265e-05
6,full-adamw-cosine-trial6,2,0.6296534631649653,0.5979363864660263,0.675,0.572312146335044,4.684508117198649e-06
6,full-adamw-cosine-trial6,3,0.6059155458211899,0.5965130317211151,0.6775,0.6287101996762008,0.0
