run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,full-adam,0,0.794478457570076,0.6555990678071976,0.62,0.38271604938271603,1e-05
1,full-adam,1,0.6548346010843913,0.6295175725221633,0.62,0.38271604938271603,1e-05
1,full-adam,2,0.6455878887573878,0.5999076408147812,0.6775,0.5685582655373373,1e-05
1,full-adam,3,0.6120970431963603,0.5519098389148712,0.755,0.7270499108734403,1e-05
2,full-adamw-cosine,0,0.9249045596520106,0.6542125499248505,0.62,0.38271604938271603,9.206267664155906e-06
2,full-adamw-cosine,1,0.6613001590967178,0.6409200829267502,0.62,0.38271604938271603,5.711574191366427e-06
2,full-adamw-cosine,2,0.659517289797465,0.6319731968641281,0.62,0.38271604938271603,1.7256963302735752e-06
2,full-adamw-cosine,3,0.6477003282308579,0.629854097366333,0.62,0.38271604938271603,0.0
3,lora-adam,0,0.7799992227554321,0.6841872125864029,0.6175,0.38176197836166925,1e-05
3,lora-adam,1,0.7784024687608083,0.6793357127904892,0.6175,0.38176197836166925,1e-05
3,lora-adam,2,0.7359282300869624,0.6795409947633744,0.62,0.38271604938271603,1e-05
3,lora-adam,3,0.7674084158738455,0.6756984776258469,0.62,0.38271604938271603,1e-05
4,lora-adamw-cosine,0,0.7836861155430476,0.6851918959617614,0.6175,0.38176197836166925,9.206267664155906e-06
4,lora-adamw-cosine,1,0.7821020996570587,0.6799107366800308,0.6175,0.38176197836166925,5.711574191366427e-06
4,lora-adamw-cosine,2,0.7399218948682149,0.6804587721824646,0.6175,0.38176197836166925,1.7256963302735752e-06
4,lora-adamw-cosine,3,0.7830982542037964,0.6798060238361359,0.6175,0.38176197836166925,0.0
