run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,lora-adamw-cosine-focus-trial1,0,3.6646856331825255,0.9491329938173294,0.61,0.37888198757763975,4.8311805735108894e-05
1,lora-adamw-cosine-focus-trial1,1,1.3296999023358027,0.7723831835389138,0.62,0.38271604938271603,4.3024198650930625e-05
1,lora-adamw-cosine-focus-trial1,2,1.03492027759552,0.7013567864894867,0.62,0.38271604938271603,3.494686564912302e-05
1,lora-adamw-cosine-focus-trial1,3,0.8586749108632405,0.6807784456014633,0.62,0.38271604938271603,2.5329989645268977e-05
1,lora-adamw-cosine-focus-trial1,4,0.7971109422047933,0.6502273452281951,0.62,0.38271604938271603,1.566203893436221e-05
1,lora-adamw-cosine-focus-trial1,5,0.7976011729240418,0.6544898337125779,0.62,0.38271604938271603,7.439386985810037e-06
1,lora-adamw-cosine-focus-trial1,6,0.7858423741658529,0.6534599584341049,0.62,0.38271604938271603,1.9347087016579307e-06
1,lora-adamw-cosine-focus-trial1,7,0.785917166074117,0.6537485784292221,0.62,0.38271604938271603,0.0
2,lora-adamw-cosine-focus-trial2,0,0.7550405826171239,0.67059146463871,0.62,0.38271604938271603,9.814586436738998e-05
2,lora-adamw-cosine-focus-trial2,1,0.7010672610998153,0.6720175379514695,0.62,0.38271604938271603,8.8785564535221e-05
2,lora-adamw-cosine-focus-trial2,2,0.6678033580382665,0.6599819475412368,0.62,0.38271604938271603,7.300325188655761e-05
2,lora-adamw-cosine-focus-trial2,3,0.6655559653043747,0.6378640508651734,0.62,0.38271604938271603,5.341212066823355e-05
2,lora-adamw-cosine-focus-trial2,4,0.6549780251582463,0.6290507245063782,0.6325,0.4230712624731404,3.3256019391450686e-05
2,lora-adamw-cosine-focus-trial2,5,0.6486061120033264,0.6222114235162735,0.6325,0.4230712624731404,1.5872342839067306e-05
2,lora-adamw-cosine-focus-trial2,6,0.6409905316432317,0.6189635795354843,0.63,0.416380772112465,4.139434924727365e-06
2,lora-adamw-cosine-focus-trial2,7,0.6383280150095622,0.6189694780111313,0.625,0.40277114190157665,0.0
