run_id,run_name,epoch,train_loss,dev_loss,dev_ppl,lr
1,lora-adamw-cosine-trial1,0,5.16026917625876,4.957629907911069,142.25623565185202,8.5e-05
1,lora-adamw-cosine-trial1,1,4.76489470986759,4.719120489102658,112.06964283781865,9.297848034936005e-05
1,lora-adamw-cosine-trial1,2,4.450795818777645,4.578565508405739,97.37461091119611,6.869085359203844e-05
1,lora-adamw-cosine-trial1,3,4.243126083822811,4.539152198862807,93.61140261399156,3.675092489016692e-05
1,lora-adamw-cosine-trial1,4,4.217841583139756,4.5282795273254965,92.59910971763316,1.0235356436328669e-05
1,lora-adamw-cosine-trial1,5,4.216451420503504,4.52647813458309,92.43245250604727,0.0
2,lora-adamw-cosine-trial2,0,5.048297994277057,4.813957998685748,123.21835170932313,9.330127018922193e-05
2,lora-adamw-cosine-trial2,1,4.59036714890424,4.636473183319947,103.17980885958234,7.500000000000001e-05
2,lora-adamw-cosine-trial2,2,4.378983469570384,4.5609538711120035,95.67469764836547,5e-05
2,lora-adamw-cosine-trial2,3,4.262984051423914,4.5419662332980435,93.87519931690188,2.500000000000001e-05
2,lora-adamw-cosine-trial2,4,4.234190534142887,4.532817234502774,93.02025215029046,6.69872981077807e-06
2,lora-adamw-cosine-trial2,5,4.22388573253856,4.530805641245619,92.833321315724,0.0
3,lora-adamw-cosine-trial3,0,5.0672315709731155,4.766227080443195,117.4751803776342,0.0001971567089397942
3,lora-adamw-cosine-trial3,1,4.456797375398524,4.511971446955315,91.10124285748253,0.00016825531432186543
3,lora-adamw-cosine-trial3,2,4.232714400571935,4.466661542375511,87.06557256258087,0.00011699103850286669
3,lora-adamw-cosine-trial3,3,4.0574491444756005,4.424823654032199,83.49808137368801,6.015989101537586e-05
3,lora-adamw-cosine-trial3,4,4.038240390665391,4.4100518627701515,82.2737303371218,1.6381787574528927e-05
3,lora-adamw-cosine-trial3,5,4.036544673583087,4.409079721040815,82.193787474825,0.0
4,lora-adamw-cosine-trial4,0,5.138280279496136,4.87300780109156,130.7134863820564,0.00017
4,lora-adamw-cosine-trial4,1,4.593042710248162,4.541732930691443,93.85330054282595,0.0001859569606987201
4,lora-adamw-cosine-trial4,2,4.255608839147231,4.469434506425234,87.30733731282852,0.00013738170718407687
4,lora-adamw-cosine-trial4,3,4.062536884756649,4.418965705087252,83.01038372459863,7.350184978033384e-05
4,lora-adamw-cosine-trial4,4,4.0426505874185,4.403017275801329,81.6969995356178,2.0470712872657337e-05
4,lora-adamw-cosine-trial4,5,4.035668274935554,4.401609331647927,81.58205565903847,0.0
5,lora-adamw-cosine-trial5,0,5.0047467736636895,4.699137179650993,109.85234870822663,0.0001971567089397942
5,lora-adamw-cosine-trial5,1,4.387450610890108,4.476190299631279,87.89916450920965,0.00016825531432186543
5,lora-adamw-cosine-trial5,2,4.157682334675508,4.438494958610178,84.64744784360094,0.00011699103850286669
5,lora-adamw-cosine-trial5,3,4.040709397372077,4.400532802688741,81.49427746993022,6.015989101537586e-05
5,lora-adamw-cosine-trial5,4,4.010699103860294,4.39504448721342,81.04823629271219,1.6381787574528927e-05
5,lora-adamw-cosine-trial5,5,4.01452075733858,4.394019296236127,80.96518894910675,0.0
6,lora-adamw-cosine-trial6,0,5.141020550447352,4.871532404534171,130.52077435253437,0.00017
6,lora-adamw-cosine-trial6,1,4.613472798291375,4.555368869104118,95.14184365029551,0.0001859569606987201
6,lora-adamw-cosine-trial6,2,4.256149235893698,4.480105676383616,88.24399748946698,0.00013738170718407687
6,lora-adamw-cosine-trial6,3,4.105492423562443,4.443112810081411,85.03924111048414,7.350184978033384e-05
6,lora-adamw-cosine-trial6,4,4.0411598682403564,4.424675201701227,83.48568680890017,2.0470712872657337e-05
6,lora-adamw-cosine-trial6,5,4.0393423332887535,4.421808118018035,83.24666916399556,0.0
7,lora-adamw-cosine-trial7,0,5.13218739453484,4.950093634774752,141.18818342631724,4.6650635094610964e-05
7,lora-adamw-cosine-trial7,1,4.90590098324944,4.852082439672167,128.00667867055725,3.7500000000000003e-05
7,lora-adamw-cosine-trial7,2,4.803430585300221,4.788588764511537,120.13171484135097,2.5e-05
7,lora-adamw-cosine-trial7,3,4.6659502702600815,4.749706232659171,115.55033462621068,1.2500000000000006e-05
7,lora-adamw-cosine-trial7,4,4.622568551231833,4.735049238828855,113.8690653595979,3.349364905389035e-06
7,lora-adamw-cosine-trial7,5,4.61603307723999,4.733028091002848,113.63915156884325,0.0
8,lora-adamw-cosine-trial8,0,5.000146725598504,4.601653339706849,99.64893305794958,0.0002957350634096912
8,lora-adamw-cosine-trial8,1,4.269261472365436,4.469280207268546,87.2938669035716,0.0002523829714827981
8,lora-adamw-cosine-trial8,2,4.054143807467292,4.395178964204877,81.05913614856522,0.0001754865577543
8,lora-adamw-cosine-trial8,3,3.9152512550354004,4.395831669602439,81.11206115459065,9.023983652306378e-05
8,lora-adamw-cosine-trial8,4,3.859216605915743,4.392956172194436,80.87915864873807,2.457268136179339e-05
8,lora-adamw-cosine-trial8,5,3.8433875897351433,4.391829731308412,80.78810435087883,0.0
