run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_dev_ppl,best_epoch,total_params,trainable_params,checkpoint_path,generated_sonnet_path
1,lora-adamw-cosine-trial1,True,adamw,True,cosine,200,80,6,0.0001,0.05,20,16,32.0,0.1,4.52647813458309,92.43245250604727,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_1_lora-adamw-cosine-trial1.pt,
2,lora-adamw-cosine-trial2,True,adamw,True,cosine,200,80,6,0.0001,0.0,0,8,32.0,0.05,4.530805641245619,92.833321315724,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_2_lora-adamw-cosine-trial2.pt,
3,lora-adamw-cosine-trial3,True,adamw,True,cosine,200,80,6,0.0002,0.01,10,16,16.0,0.1,4.409079721040815,82.193787474825,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_3_lora-adamw-cosine-trial3.pt,
4,lora-adamw-cosine-trial4,True,adamw,True,cosine,200,80,6,0.0002,0.05,20,16,16.0,0.0,4.401609331647927,81.58205565903847,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_4_lora-adamw-cosine-trial4.pt,
5,lora-adamw-cosine-trial5,True,adamw,True,cosine,200,80,6,0.0002,0.0,10,4,32.0,0.1,4.394019296236127,80.96518894910675,5,163775232,38744832,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_5_lora-adamw-cosine-trial5.pt,
6,lora-adamw-cosine-trial6,True,adamw,True,cosine,200,80,6,0.0002,0.0,20,8,16.0,0.0,4.421808118018035,83.24666916399556,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_6_lora-adamw-cosine-trial6.pt,
7,lora-adamw-cosine-trial7,True,adamw,True,cosine,200,80,6,5e-05,0.01,0,16,16.0,0.05,4.733028091002848,113.63915156884325,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_7_lora-adamw-cosine-trial7.pt,
8,lora-adamw-cosine-trial8,True,adamw,True,cosine,200,80,6,0.0003,0.05,10,8,32.0,0.05,4.391829731308412,80.78810435087883,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_8_lora-adamw-cosine-trial8.pt,
