run_id,run_name,epoch,train_loss,dev_loss,dev_acc,dev_f1,lr
1,full-adam-trial1,0,0.794478457570076,0.6555990678071976,0.62,0.38271604938271603,1e-05
1,full-adam-trial1,1,0.6548346010843913,0.6295175725221633,0.62,0.38271604938271603,1e-05
1,full-adam-trial1,2,0.6455878887573878,0.5999076408147812,0.6775,0.5685582655373373,1e-05
1,full-adam-trial1,3,0.6120970431963603,0.5519098389148712,0.755,0.7270499108734403,1e-05
2,full-adam-trial2,0,0.7467679862181346,0.6466025012731552,0.62,0.38271604938271603,2e-05
2,full-adam-trial2,1,0.6395576613148054,0.5958280181884765,0.655,0.5202336253650397,2e-05
2,full-adam-trial2,2,0.5825938930114111,0.4916074222326279,0.7475,0.7388004215399138,2e-05
2,full-adam-trial2,3,0.4586949606736501,0.45033738523721695,0.76,0.7344839030866246,2e-05
3,full-adam-trial3,0,0.7301517954468727,0.6375347006320954,0.62,0.38271604938271603,3e-05
3,full-adam-trial3,1,0.6185465916991234,0.5412487089633942,0.745,0.7349203461628421,3e-05
3,full-adam-trial3,2,0.5181160490214824,0.49459797501564023,0.7475,0.7453209019674591,3e-05
3,full-adam-trial3,3,0.36376818870504696,0.472646114975214,0.7675,0.7611940298507462,3e-05
